No.,Time,Source,Destination,Protocol,Length,Info
1,0,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
2,0.000249961,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
3,0.004069583,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
4,0.004409658,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
5,0.008078188,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
6,0.008328765,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
7,0.012117998,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
8,0.012488016,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
9,0.016080144,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
10,0.016307287,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
11,0.02003202,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
12,0.020220457,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
13,0.024075188,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
14,0.02424745,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
15,0.028069831,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
16,0.028253013,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
17,0.03204419,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
18,0.032252147,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
19,0.036086746,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
20,0.036383558,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
21,0.040092366,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
22,0.040322806,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
23,0.044120416,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
24,0.04431057,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
25,0.04808249,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
26,0.048358033,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
27,0.052084459,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
28,0.052400648,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
29,0.056087663,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
30,0.056491444,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
31,0.060054045,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
32,0.060488858,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
33,0.06408612,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
34,0.064467759,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
35,0.06805123,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
36,0.068423939,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
37,0.072066642,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
38,0.072503111,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
39,0.076125063,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
40,0.076517535,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
41,0.080176121,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
42,0.080575957,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
43,0.084163143,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
44,0.084563481,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
45,0.088054072,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
46,0.088430379,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
47,0.092067289,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
48,0.092468591,192.168.38.11,192.168.38.1,UDP,1488,7582  >  7582 Len=1446
49,0.096074376,192.168.38.1,192.168.38.11,UDP,1488,7582  >  7582 Len=1446
